"Statistic Label","Quarter","Private or Public Sector","UNIT","VALUE"
"Employment","2008Q1","Private sector","Number","1350200"
"Employment","2008Q1","Public sector","Number","417000"
"Employment","2008Q1","All sectors","Number","1767200"
"Employment","2008Q2","Private sector","Number","1354500"
"Employment","2008Q2","Public sector","Number","421400"
"Employment","2008Q2","All sectors","Number","1775900"
"Employment","2008Q3","Private sector","Number","1318100"
"Employment","2008Q3","Public sector","Number","417100"
"Employment","2008Q3","All sectors","Number","1735200"
"Employment","2008Q4","Private sector","Number","1285800"
"Employment","2008Q4","Public sector","Number","427300"
"Employment","2008Q4","All sectors","Number","1713100"
"Employment","2009Q1","Private sector","Number","1208800"
"Employment","2009Q1","Public sector","Number","421200"
"Employment","2009Q1","All sectors","Number","1630000"
"Employment","2009Q2","Private sector","Number","1184300"
"Employment","2009Q2","Public sector","Number","417700"
"Employment","2009Q2","All sectors","Number","1602100"
"Employment","2009Q3","Private sector","Number","1164800"
"Employment","2009Q3","Public sector","Number","409500"
"Employment","2009Q3","All sectors","Number","1574300"
"Employment","2009Q4","Private sector","Number","1136200"
"Employment","2009Q4","Public sector","Number","409700"
"Employment","2009Q4","All sectors","Number","1545900"
"Employment","2010Q1","Private sector","Number","1119100"
"Employment","2010Q1","Public sector","Number","406800"
"Employment","2010Q1","All sectors","Number","1525900"
"Employment","2010Q2","Private sector","Number","1113900"
"Employment","2010Q2","Public sector","Number","409500"
"Employment","2010Q2","All sectors","Number","1523400"
"Employment","2010Q3","Private sector","Number","1113400"
"Employment","2010Q3","Public sector","Number","404600"
"Employment","2010Q3","All sectors","Number","1518000"
"Employment","2010Q4","Private sector","Number","1090500"
"Employment","2010Q4","Public sector","Number","404100"
"Employment","2010Q4","All sectors","Number","1494500"
"Employment","2011Q1","Private sector","Number","1069300"
"Employment","2011Q1","Public sector","Number","409400"
"Employment","2011Q1","All sectors","Number","1478700"
"Employment","2011Q2","Private sector","Number","1087400"
"Employment","2011Q2","Public sector","Number","407200"
"Employment","2011Q2","All sectors","Number","1494500"
"Employment","2011Q3","Private sector","Number","1094900"
"Employment","2011Q3","Public sector","Number","394700"
"Employment","2011Q3","All sectors","Number","1489600"
